Index	First Frame	Number Frames	Frames Missing	Position X [nm]	Position Y [nm]	Precision [nm]	Number Photons	Background variance	Chi square	PSF half width [nm]	Channel	Z Slice
198	398	1	0	10579.0	14693.3	12.0	2839	258.34	0.88	122.1	1	1
199	398	1	0	28605.1	9366.6	13.3	2043	143.57	0.92	121.0	1	1
200	398	1	0	20868.5	5361.8	9.2	3864	210.12	0.84	130.9	1	1
201	398	1	0	13144.1	12346.7	10.4	4441	288.28	1.05	136.9	1	1
202	399	1	0	25226.4	16479.9	14.4	5971	499.69	0.95	172.1	1	1
203	399	1	0	24702.8	8649.7	20.2	1648	374.47	1.02	114.2	1	1
204	399	1	0	10588.5	14674.8	17.1	2387	322.69	1.01	128.8	1	1
205	400	1	0	25220.0	16504.7	12.4	4484	200.03	0.95	162.8	1	1
206	400	1	0	10581.5	14711.3	12.7	1963	191.03	0.90	110.0	1	1
207	401	1	0	11249.4	14639.6	16.3	1682	168.19	0.77	119.7	1	1
208	401	1	0	20570.0	22263.6	15.7	1463	179.41	0.77	108.9	1	1
209	402	1	0	13249.8	12908.0	11.0	2338	187.19	0.75	112.9	1	1
210	402	1	0	20593.4	22168.7	14.0	3575	560.38	1.28	126.0	1	1
211	402	1	0	9643.3	30157.8	9.9	3633	199.71	1.06	129.8	1	1
212	403	1	0	21674.8	14148.1	14.0	5944	474.54	1.39	167.2	1	1
213	403	1	0	20842.9	22434.6	15.9	5157	413.30	1.39	169.7	1	1
214	403	1	0	13587.6	9399.9	12.8	4038	299.16	0.82	148.9	1	1
215	403	1	0	17060.9	12644.3	11.8	2224	102.68	0.89	123.1	1	1
216	404	1	0	2779.9	12475.5	19.7	836	211.43	1.15	88.7	1	1
217	404	1	0	8101.0	24052.7	13.7	2549	189.97	1.02	130.1	1	1
218	404	1	0	13017.0	14709.3	10.8	3601	227.06	0.96	131.8	1	1
219	406	1	0	13125.5	26821.5	13.7	4919	374.17	0.87	161.7	1	1
220	407	1	0	31068.5	16480.6	13.0	2863	154.56	0.85	141.0	1	1
221	407	1	0	23974.9	7423.4	11.9	3080	315.57	0.97	123.0	1	1
222	408	1	0	12969.4	9528.6	13.6	3584	312.47	1.06	141.2	1	1
223	408	1	0	6449.3	15429.4	11.0	5126	334.87	1.15	148.8	1	1
224	408	1	0	20836.8	11655.1	8.1	4825	314.25	1.05	123.6	1	1
225	409	1	0	6975.1	11332.4	13.8	2816	221.71	0.91	134.8	1	1
226	409	1	0	23759.6	7101.9	7.2	5963	390.26	1.29	123.0	1	1
227	410	1	0	22625.6	22529.2	19.9	3509	472.68	1.26	154.8	1	1
228	410	1	0	12404.5	14890.3	14.4	2242	275.12	0.91	117.8	1	1
229	410	1	0	23658.0	6940.4	7.0	5622	280.31	0.96	127.7	1	1
230	413	1	0	13168.8	9464.5	18.6	5800	614.71	1.08	184.0	1	1
231	413	1	0	10191.0	19785.1	13.1	2807	224.91	0.86	131.6	1	1
232	413	1	0	18130.3	26538.7	14.2	2717	341.44	1.01	123.8	1	1
233	413	1	0	11486.7	13986.5	14.0	2482	304.51	0.97	119.9	1	1
234	414	1	0	28858.6	13112.1	22.1	1970	413.49	1.22	126.5	1	1
235	414	1	0	30544.3	10216.2	7.1	5757	391.77	1.14	120.5	1	1
